"	ability"	[ә'biliti]	n. 能力,能耐,本领
"	above"	[ә'bʌv]	prep. 在…上面,高于
"	absolutely"	['æbsәlu:tli]	ad. 完全地,绝对地
"	abuse"	[ә'bju:z, ә'bju:s]	vt. 滥用,虐待 n. 滥用
"	accepted"	[әk'septid]	a.  一般承认的,公认的
"	accuse"	[ә'kju:z]	vt. 指责,归咎于
"	achieve"	[ә'tʃi:v]	vt. 完成,实现,达到
"	active"	['æktiv]	a. 活跃的,积极的
"	activity"	[æk'tiviti]	n. 活动,活力,行动
"	addition"	[ә'diʃәn]	n. 加,加法,附加物
"	address"	[ә'dres]	n. 地址,演说,谈吐
"	administration"	[әdminis'treiʃәn]	n. 管理,管理部门
"	admit"	[әd'mit]	vt. 承认,准许…进入
"	adopt"	[ә'dɔpt]	vt. 收养,采用,采取
"	adult"	['ædʌlt]	n. 成年人 a. 成年的
"	advance"	[әd'va:ns]	vi. 前进,提高 n. 进展
"	advantage"	[әd'va:ntidʒ]	n. 优点,优势,好处
"	advice"	[әd'vais]	n. 劝告,忠告,意见
"	affair"	[ә'fɛә]	n. 事情,事件,事务
"	affect"	[ә'fekt]	vt. 影响,感动
"	afternoon"	['a:ftә'nu:n]	n. 下午,午后
"	agency"	['eidʒәnsi]	n. 经办,代理,代理处
"	agent"	['eidʒәnt]	n. 代理人,代理商
"	agreement"	[ә'gri:mәnt]	n. 协定,协议,同意
"	ahead"	[ә'hed]	ad. 在前,向前,提前
"	AIDS"		n. 艾滋病，即获得性免疫缺损综合症
"	aim"	[eim]	vi. 瞄准,针对,致力
"	aircraft"	['ɛәkra:ft]	n. 飞机,飞行器
"	airline"	['ɛәlain]	n. 航空公司,航线
"	airport"	['ɛәpɔ:t]	n. 机场,航空站
"	album"	['ælbәm]	n. 集邮本,照相簿,唱片
"	allege"	[ә'ledʒ]	vt. 宣称,申述,主张,断言
"	all right"		→ right 成语
"	ally"	['ælai, ә'lai]	n. 盟国,同盟者,伙伴
"	alone"	[ә'lәun]	a. 单独的 ad. 单独地
"	alternative"	[ɔ:l'tә:nәtiv]	n. 替换物,两者选一的
"	amount"	[ә'maunt]	n. 总数,数量,和
"	analyst"	['ænәlist]	n. 分析者
"	animal"	['ænimәl]	n. 动物,兽 a. 动物的
"	annual"	['ænjuәl]	a. 每年的 n. 年报
"	anyone"	['eniwʌn]	pron. 任何人
"	anyway"	['eniwei]	ad. 无论如何
"	apart"	[ә'pa:t]	ad. 相隔,分开,除去
"	apparently"	[ә'pærәntli]	ad. 看来，显然地
"	appeal"	[ә'pi:l]	vi. n. 呼吁,申述
"	appearance"	[ә'piәrәns]	n. 出现,来到,外观
"	apply"	[ә'plai]	vt. 应用,实施,使用
"	approach"	[ә'prәutʃ]	vt. 向…靠近 n. 靠近
"	approve"	[ә'pru:v]	vt. 赞成,批准
"	April"	['eiprәl]	n. 四月
"	aren't"		不是
"	argue"	['a:gju:]	vi. 争论,争辩,辩论
"	argument"	['a:gju:mәnt]	n. 争论,辩论,理由
"	armed"	[ɑ:md]	a.  武装的,有防卫器官的
"	arrange"	[ә'reindʒ]	vt. 筹备,整理,调解
"	arrest"	[ә'rest]	vt. 逮捕,拘留
"	arrive"	[ә'raiv]	vi. 到达
"	article"	['a:tikl]	n. 文章,条款,物品
"	artist"	['a:tist]	n. 艺术家,美术家
"	aspect"	['æspekt]	n. 方面,样子,外表
"	assess"	[ә'ses]	vt. 对(财产等)估价
"	asset"	['æset]	n.  资产,有用的东西
"	association"	[әsәusi'eiʃәn]	n. 协会,团体,联合
"	assume"	[ә'sju:m]	vt. 假定,承担,呈现
"	attend"	[ә'tend]	vt. 出席,照顾,护理
"	attention"	[ә'tenʃәn]	n. 注意,留心,注意力
"	attitude"	['ætitju:d]	n. 态度,看法,姿势
"	attract"	[ә'trækt]	vt. 吸引,诱惑
"	audience"	['ɔ:djәns]	n. 听众,观众
"	August"	[ɔ:'gʌst]	n. 八月
"	aunt"	[a:nt]	n. 伯母,婶母,姑母
"	author"	['ɔ:θә]	n. 作者,作家
"	average"	['ævәridʒ]	n. 平均数 a. 平均的
"	avoid"	[ә'vɔid]	vt. 避免,躲开,撤消
"	award"	[ә'wɔ:d]	n. 奖,奖品,判定
"	aware"	[ә'wɛә]	a. 知道的,意识到的
"	baby"	['beibi]	n. 婴儿
"	bag"	[bæg]	n. 袋,包
"	balance"	['bælәns]	vt. 使平衡,称 n. 天平
"	ball"	[bɔ:l]	n. 球,舞会
"	ban"	[bæn]	n.  禁令 vt.  禁止,取缔
"	band"	[bænd]	n. 乐队,带,波段
"	bar"	[ba:]	n. 酒吧间,条,杆
"	basic"	['beisik]	a. 基本的,基础的
"	basis"	['beisis]	n. 基础,根据
"	battle"	['bætl]	n. 战役,斗争 vi. 作战
"	bear"	[bɛә]	vt. 容忍,负担,生育
"	beautiful"	['bju:tiful]	a. 美的,美丽的
"	bed"	[bed]	n. 床,苗圃,河床
"	behaviour"	[bi'heivjә]	n. 行为，举止；(机器的)特性
"	below"	[bi'lәu]	prep. 在…下面(以下)
"	benefit"	['benifit]	n. 利益,恩惠,津贴
"	beyond"	[bi'jɔnd]	prep. 在…的那边
"	bid"	[bid]	n.  出价 vt. vi. 命令,吩咐,投标
"	bill"	[bil]	n. 账单,招贴,票据
"	bird"	[bә:d]	n. 鸟,禽
"	blame"	[bleim]	vt. 责备,把…归咎于
"	block"	[blɔk]	n. 街区 vt. 堵塞,拦阻
"	blood"	[blʌd]	n. 血液,血统
"	blow"	[blәu]	vi. 吹,吹动,吹响
"	board"	[bɔ:d]	n. 板
"	boat"	[bәut]	n. 小船,艇,渔船
"	bomb"	[bɔm]	n. 炸弹 vt. 轰炸
"	bond"	[bɔnd]	n. 联结,联系,债券
"	border"	['bɔ:dә]	n. 边缘,边界
"	born"	[bɔ:n]	a. 天生的,出生的
"	boss"	[bɔs]	n. 老板,上司 vt. 指挥
"	bottle"	['bɔtl]	n. 瓶子
"	bottom"	['bɔtәm]	n. 底,底部,根基
"	box"	[bɔks]	n. 箱,盒,包箱
"	brain"	[brein]	n. 脑,脑力
"	bridge"	[bridʒ]	n. 桥梁,桥牌
"	brief"	[bri:f]	a. 简短的 vt. 作简报
"	bright"	[brait]	a. 明亮的,聪明的
"	broad"	[brɔ:d]	a. 宽的,阔的,广泛的
"	budget"	['bʌdʒit]	n. 预算
"	burn"	[bә:n]	vi. 烧,燃烧
"	cabinet"	['kæbinit]	n. 橱,柜,内阁
"	camera"	['kæmәrә]	n. 照相机,摄影机
"	camp"	[kæmp]	n. 野营,营地,兵营
"	cancer"	['kænsә]	n. 癌,癌症
"	candidate"	['kændidit]	n. 候选人,投考者
"	captain"	['kæptin]	n. 陆军上尉,队长
"	caption"	[kæpʃәn]	n. 标题
"	card"	[ka:d]	n. 卡片,名片
"	career"	[kә'riә]	n. 生涯,职业,经历
"	careful"	['kɛәful]	a. 仔细的,细致的
"	cash"	[kæʃ]	n. 现金,现款
"	cast"	[ka:st]	vt. 投,扔,抛,浇铸
"	catch"	[kætʃ]	vt. 捉住,赶上,领会
"	cell"	[sel]	n. 细胞,小房间
"	certain"	['sә:tәn]	a. 确实的,肯定的
"	certainly"	['sә:tәnli]	ad. 一定,必定,当然
"	chair"	[tʃɛә]	n. 椅子
"	chairman"	['tʃɛәmәn]	n. 主席
"	challenge"	['tʃælәndʒ]	n. 挑战
"	champion"	['tʃæmpjәn]	n. 冠军
"	championship"	['tʃæmpjәnʃip]	n. 冠军
"	channel"	['tʃænl]	n. 海峡,渠道,频道
"	chapter"	['tʃæptә]	n. 章,回,篇
"	character"	['kæriktә]	n. 性格,特性,角色
"	cheap"	[tʃi:p]	a. 廉价的,劣质的
"	check"	[tʃek]	n. 支票
"	chemical"	['kemikl]	a. 化学的 n. 化学制品
"	choice"	[tʃɔis]	n. 选择
"	choose"	[tʃu:z]	vt. 选择,挑选
"	Christian"	['kristjәn]	n. 基督教徒
"	Christmas"	['krismәs]	n. 圣诞节
"	church"	[tʃә:tʃ]	n. 教堂,教会
"	circle"	['sә:kl]	n. 圆圈,圈子
"	citizen"	['sitizn]	n. 公民,市民,居民
"	City"	['siti]	n. 城市
"	civil"	['sivl]	a. 公民的,文职的
"	classic"	['klæsik]	n. 名著,杰作 a. 经典的,古典的
"	clean"	[kli:n]	a. 清洁的,纯洁的
"	clothes"	[klәuðz]	n. 服装,被褥
"	coach"	[kәutʃ]	n. 长途公共汽车
"	coast"	[kәust]	n. 海岸,海滨(地区)
"	cold"	[kәuld]	a. 冷的,冷淡的 n. 冷
"	collapse"	[kә'læps]	vi. 倒坍,崩溃,瓦解
"	colleague"	['kɔli:g]	n. 同事
"	collect"	[kә'lekt]	vt. 收集
"	collection"	[kә'lekʃәn]	n. 收集,收藏品
"	college"	['kɔlidʒ]	n. 学院,大学
"	comment"	['kɔment]	n. 评论,意见,注释
"	commercial"	[kә'mә:ʃәl]	a. 商业的,商品化的
"	commission"	[kә'miʃәn]	n. 委任状,委任
"	commit"	[kә'mit]	vt. 犯(错误),干(坏事)
"	communist"	['kɔmjunist]	n. 共产党员
"	competition"	[kɔmpә'tiʃәn]	n. 竞争,比赛
"	complain"	[kәm'plein]	vi. 抱怨,拆苦,控告
"	complex"	['kɔmpleks]	a. 结合的,复杂的
"	computer"	[kәm'pju:tә]	n. 计算机
"	conduct"	['kɔndәkt, kәn'dʌkt]	n. 举止,行为,指导
"	confidence"	['kɔnfidәns]	n. 信任,信心
"	confirm"	[kәn'fә:m]	vt. 证实,肯定,批准
"	conflict"	['kɔnflikt, kәn'flikt]	n. 争论,冲突,斗争
"	conservative"	[kәn'sә:vәtiv]	a. 保守的 n. 保守的人
"	considerable"	[kәn'sidәrәbl]	a. 相当大的,重要的
"	constant"	['kɔnstәnt]	a. 经常的,永恒的
"	consumer"	[kәn'sju:mә]	n. 消费者,用户
"	contact"	['kɔntækt, kәn'tækt]	vt. 使接触,与…联系
"	contain"	[kәn'tein]	vt. 包含,容纳
"	contract"	['kɔntrækt, kәn'trækt]	n. 契约,合同
"	cook"	[kuk]	vt. 烹调,煮
"	cool"	[ku:l]	a. 凉的,冷静的
"	copy"	['kɔpi]	n. 抄件,拷贝 vt. 抄写,复制
"	corner"	['kɔ:nә]	n. 角,犄角,边远地区
"	correct"	[kә'rekt]	a. 正确的 vt. 纠正
"	correspondent"	[kɔris'pɔndәnt]	n. 记者
"	count"	[kaunt]	vt. 计算 vi. 数,计数
"	county"	['kaunti]	n. 郡,县
"	couple"	['kʌpl]	n. 夫妇,一对,几个
"	cousin"	['kʌzn]	n. 堂(表)兄弟(姐妹)
"	crash"	[kræʃ]	vi. 碰撞,坠落 n. 碰撞
"	credit"	['kredit]	n. 信用,分数
"	crime"	[kraim]	n. 罪,罪行,犯罪
"	criminal"	['kriminl]	n. 罪犯
"	crisis"	['kraisis]	n. 危机
"	critic"	['kritik]	n. 批评家,爱挑剔的人
"	critical"	['kritikәl]	a. 决定性的,批评的
"	criticism"	['kritisizәm]	n. 批评,批判,评论
"	cross"	[krɔs]	vt. 穿过,使交叉
"	crowd"	[kraud]	n. 群,大众,一伙人
"	cry"	[krai]	vi. 哭泣,叫喊
"	culture"	['kʌltʃә]	n. 文化,文明,教养
"	currency"	['kʌrәnsi]	n. 通货,货币,流通
"	customer"	['kʌstәmә]	n. 顾客,主顾
"	daily"	['deili]	a. 每日的 n. 日报
"	damage"	['dæmidʒ]	vt. 损害,毁坏 n. 损害
"	dance"	[da:ns]	vi. 跳舞 n. 舞
"	danger"	['deindʒә]	n. 危险
"	dangerous"	['deindʒrәs]	a. 危险的
"	dark"	[da:k]	a. 暗的,黑色的
"	data"	['deitә]	n. 数据,资料
"	date"	['deit]	n. 日期,约会
"	dead"	[ded]	a. 死的
"	death"	[deθ]	n. 死亡
"	debate"	[di'beit]	n. vi. 争论,辩论
"	debt"	[det]	n. 债务,欠债
"	decade"	['dekeid]	n. 十年
"	December"	[di'sembә]	n. 十二月
"	declare"	[di'klɛә]	vt. 断言,声明
"	decline"	[di'klain]	vt. 下倾,偏斜,衰退
"	deep"	[di:p]	a. 深的,纵深的
"	defeat"	[di'fi:t]	vt. 战胜,击败
"	defence"	[di'fens]	n. 防御,辩护
"	defend"	[di'fend]	vt. 保卫,防守
"	deficit"	['difisit]	n. 赤字,不足额
"	degree"	[di'gri:]	n. 程度,度,学位
"	delay"	[di'lei]	vt. 推迟,耽搁,延误
"	deliver"	[di'livә]	vt. 投递,送交
"	democracy"	[di'mɔkrәsi]	n. 民主,民主制
"	democrat"	['demәkræt]	n. 民主主义者，民主人士
"	democratic"	[demә'krætik]	a. 民主的
"	deny"	[di'nai]	vt. 否认,拒绝
"	depend"	[di'pend]	vi. 依靠,依赖
"	deputy"	['depjuti]	n.  代理人,代表,副警长
"	desire"	[di'zaiә]	vt. 相望,要求 n. 愿望
"	desk"	[desk]	n. 书桌,办公桌
"	despite"	[dis'pait]	prep. 不管,不顾
"	destroy"	[dis'trɔi]	vt. 破坏,消灭
"	detail"	['di:teil]	n. 细节
"	determine"	[di'tә:min]	vt. 决定,决心
"	diet"	['daiәt]	n. 饮食,食物
"	difference"	['difrәns]	n. 差别,分歧
"	difficulty"	['difikәlti]	a. 困难
"	dinner"	['dinә]	n. 正餐,宴会
"	direction"	[di'rekʃәn]	n. 方向,指导
"	discover"	[dis'kʌvә]	vt. 发现,暴露,显示
"	discuss"	[dis'kʌs]	vt. 讨论
"	discussion"	[dis'kʌʃәn]	n. 讨论
"	disease"	[di'zi:z]	n. 疾病
"	dismiss"	[dis'mis]	vt. 解雇,解散
"	display"	[dis'plei]	vt. 陈列,展览,显示
"	dispute"	[dis'pju:t]	vi. n. 争论,争执
"	distance"	['distәns]	n. 距离,远处
"	district"	['distrikt]	n. 地区,区域
"	divide"	[di'vaid]	vt. 分开,分配,除
"	division"	[di'viʒәn]	n. 部门,师,分开,除法
"	doctor"	['dɔktә]	n. 医生,博士
"	document"	['dɔkjumәnt]	n. 公文,文件
"	dog"	[dɔg]	n. 狗
"	domestic"	[dә'mestik]	a. 本国的,家庭的
"	dominate"	['dɔmineit]	vt. 统治,支配,控制
"	double"	['dʌbl]	a. 两倍的,双的
"	doubt"	[daut]	n. 怀疑,疑虑 vt. 怀疑
"	dozen"	['dʌzn]	n. 一打,十二个
"	dramatic"	[drә'mætik]	a. 戏剧性的
"	dream"	[dri:m]	n. 梦,梦想 vi. 做梦
"	dress"	[dres]	n. 女服,童装,服装
"	drink"	[driŋk]	vt. 喝 n. 饮料
"	drop"	[drɔp]	vt. 使落下,降低
"	dry"	[drai]	a. 干燥的
"	due"	[dju:]	a. 预期的,应给的
"	duty"	['dju:ti]	n. 职责,责任,税
"	earlier"		a.  早的,初期的;ad.  早地,初期的
"	earn"	[ә:n]	vt. 挣得,获得
"	earth"	[ә:θ]	n. 地球,陆地,地面
"	eastern"	['i:stәn]	a. 东方的,朝东的
"	eat"	[i:t]	vt. 吃
"	economics"	[i:kә'nɔmiks]	n. 经济学
"	edge"	[edʒ]	n. 边缘,刀口
"	edition"	[i'diʃәn]	n. 版本
"	editor"	['editә]	n. 编辑,编者
"	effective"	[i'fektiv]	a. 有效的,有影响的
"	egg"	[eg]	n. 蛋,卵
"	eighteenth"	['ei'ti:nθ]	a.  第十八的,第十八,第十八日
"	eighth"	[eitθ]	num. 第八 n. 八分之一
"	eightieth"	['eitiiθ]	a.  第八十的,第八十,八十分之一的
"	elect"	[i'lekt]	vt. 选举,推选
"	element"	['elimәnt]	n. 成分,要素,元素
"	eleventh"	[i'levnθ]	num. 第十一(个)
"	emerge"	[i'mә:dʒ]	vi. 出现,涌现,冒出
"	emergency"	[i'mә:dʒәnsi]	n. 紧急情况,突然事件
"	employee"	[emplɔi'i:]	n. 雇员
"	encourage"	[in'kʌridʒ]	vt. 鼓励,支持,助长
"	energy"	['enәdʒi]	n. 活力,精力,能量
"	engine"	['endʒin]	n. 发动机,引擎
"	enjoy"	[in'dʒɔi]	vt. 享受,欣赏,喜爱
"	ensure"	[in'ʃuә]	vt. 保证,保护,担保
"	enter"	['entә]	vt. 进入,参加
"	entire"	[in'taiә]	a. 全部的,彻底的
"	entry"	['entri]	n. 入口处,登记,进入
"	environment"	[in'vaiәrәnmәnt]	n. 环境,外界,围绕
"	environmental"	[invaiәrәn'mentl]	a. 环境的
"	equal"	['i:kwәl]	a. 相等的,平等的
"	equipment"	[i'kwipmәnt]	n. 装备,设备,配备
"	escape"	[is'keip]	vi. 逃跑,逸出 n. 逃跑
"	especially"	[is'peʃәli]	ad. 特别,尤其,格外
"	essential"	[i'senʃәl]	a. 必要的,本质的
"	establish"	[is'tæbliʃ]	vt. 建立,设立,确立
"	estate"	[is'teit]	n. 房地产,财产,产业
"	estimate"	['estimit, 'estimeit]	vt. 估计,评价 n. 估计
"	evening"	['i:vniŋ]	n. 晚上
"	eventually"	[i'ventjuәli]	ad. 终于,最后
"	everybody"	['evribɔdi]	pron. 每人,人人
"	everyone"	['evriwʌn]	pron. 每人,人人
"	evidence"	['evidәns]	n. 根据,证据,证人
"	exact"	[ig'zækt]	a. 确切的,精确的
"	examine"	[ig'zæmin]	vt. 检查,仔细观察
"	excellent"	['eksәlәnt]	a. 优秀的,杰出的
"	except"	[ik'sept]	prep. 除…之外
"	exchange"	[iks'tʃeindʒ]	vt. 交换,交流 n. 交换
"	executive"	[ig'zekjutiv]	a. 执行的 n. 执行者
"	exercise"	['eksәsaiz]	n. 锻炼,训练 vi. 练习
"	exist"	[ig'zist]	vi. 存在,生存
"	expensive"	[iks'pensiv]	a. 昂贵的,花钱多的
"	expert"	['ekspә:t]	n. 专家 a. 熟练的
"	explain"	[iks'plein]	vt. 解释,为…辩解
"	export"	[eks'pɔ:t, 'ekspɔ:t]	vt. 输出,出口
"	express"	[iks'pres]	vt. 表示 n. 快车,快递
"	extend"	[iks'tend]	vt. 延长,扩大
"	extra"	['ekstrә]	a. 额外的 ad. 特别地
"	extremely"	[iks'tri:mli]	ad. 极其，非常
"	facility"	[fә'siliti]	n. 设备,容易,便利
"	factor"	['fæktә]	n. 因素,因子,系数
"	factory"	['fæktәri]	n. 工厂
"	failure"	['feiljә]	n. 失败,失败的人
"	fair"	[fɛә]	n. 定期集市,博览会
"	famous"	['feimәs]	a. 著名的
"	fan"	[fæn]	n. 扇子,风扇 vt. 扇
"	farm"	[fa:m]	n. 农场,农庄
"	farmer"	['fa:mә]	n. 农民,农场主
"	fashion"	['fæʃәn]	n. 样子,方式,风尚
"	fast"	[fa:st]	a. ad. 快速的,紧紧的
"	fat"	[fæt]	a. 肥胖的 n. 脂肪,肥肉
"	favour"	['feivә]	n. 关切；支持
